,PCA,tSNE
5665,9.558793067932129,39.09391188621521
2320,1.604506015777588,12.975453853607178
5932,7.500516653060913,36.57748603820801
1678,1.0541458129882812,9.378596782684326
5663,6.869410514831543,36.52932262420654
9879,16.600080966949463,66.6770977973938
4785,2.2921268939971924,28.727572441101074
9593,8.568870782852173,66.74807262420654
3089,2.964111804962158,20.00141739845276
7412,10.625759363174438,49.92927861213684
1013,0.7473545074462891,5.8761210441589355
4854,2.82356858253479,33.781267166137695
7289,6.818526983261108,51.583608627319336
7856,15.083364009857178,54.73430347442627
3406,2.6982421875,21.623600721359253
7850,11.736922264099121,55.985414266586304
4779,6.922218084335327,33.97387647628784
8012,12.753105401992798,57.78253507614136
9872,11.301459312438965,64.04354667663574
4737,2.98055362701416,30.382102727890015
21130,14.2617506980896,148.76858162879944
7375,7.164180278778076,53.062442779541016
2015,1.330199956893921,11.87353253364563
3443,3.7689692974090576,22.745611667633057
618,0.5785093307495117,3.2517659664154053
1065,1.063995599746704,6.087175130844116
3395,2.985727310180664,22.564083337783813
4037,1.7957887649536133,26.62343430519104
3843,3.494807243347168,24.88472628593445
7130,14.607367515563965,48.40124154090881
10178,11.348772525787354,72.06711053848267
4966,5.472262144088745,32.284384965896606
12288,15.715067863464355,80.61519503593445
3666,2.6346287727355957,23.022650241851807
7371,9.466777563095093,52.57608485221863
5581,9.759763956069946,40.08703398704529
1445,0.9640755653381348,8.312120914459229
4825,5.325229167938232,31.57037329673767
12212,18.878098487854004,82.78885173797607
10592,11.759814023971558,76.92998170852661
3357,2.257953405380249,20.57155203819275
4605,3.02162504196167,29.764991998672485
6561,9.720894575119019,46.358426570892334
13595,9.429302453994751,108.51839089393616
4140,0.8891754150390625,26.744640111923218
6676,4.733363151550293,46.877973318099976
6827,8.430827140808105,48.23779082298279
912,1.052426815032959,5.004697799682617
13848,16.280619382858276,106.04252600669861
6456,10.585890769958496,43.75757098197937
5201,7.390346050262451,34.69456720352173
3037,1.930673599243164,19.99730920791626
6401,10.900254964828491,44.91613411903381
6468,10.110653638839722,50.95286750793457
2463,1.0392701625823975,15.157186508178711
2157,1.557570457458496,13.321991682052612
5572,6.450924873352051,39.83306694030762
15870,24.030043363571167,139.73178672790527
7334,10.21134328842163,53.39926052093506
1914,1.8128938674926758,11.889616012573242
5439,5.172304391860962,37.872949838638306
8822,11.212652206420898,59.7541446685791
6196,9.12158465385437,47.18799686431885
19027,14.474042654037476,138.54328536987305
7241,6.7137391567230225,49.97027778625488
1198,1.004359483718872,6.64138650894165
2411,0.9244775772094727,15.017236709594727
3015,1.8040177822113037,19.253394842147827
8422,7.114184141159058,55.050493240356445
